"dh.date","dh.hour","sessions","impressions","clicks","conversions","revenue","payout"
"2025-09-15","19","18127","18377","992","43","856","560.04"
"2025-09-15","20","16432","17010","934","46","1056.7","701.4199999999998"
"2025-09-15","21","14128","14438","890","47","668.5","450.41999999999973"
"2025-09-15","22","11172","11428","837","39","753","499.48999999999984"
"2025-09-15","23","8153","8140","585","39","880.6","573.2499999999998"
"2025-09-16","0","11205","19242","448","83","589.1","402.56000000000006"
"2025-09-16","1","7114","10050","395","74","252.5","179.20000000000002"
"2025-09-16","2","5564","6201","327","80","345.5","244.36999999999995"
"2025-09-16","3","5210","5686","315","98","173","133.06999999999994"
"2025-09-16","4","6681","7306","336","87","399","293.75"
"2025-09-16","5","10026","10963","350","95","469.5","330.52000000000015"
"2025-09-16","6","14661","16141","492","117","762","527.5900000000001"
"2025-09-16","7","13017","15800","584","139","1006.5999999999999","684.1700000000005"
"2025-09-16","8","17177","20360","804","161","1024","705.6500000000008"
"2025-09-16","9","19986","24473","900","144","1443","968.75"
"2025-09-16","10","20742","24855","907","145","2415.5","1598.8999999999999"
"2025-09-16","11","23218","27199","1005","126","1239.5","835.1"
"2025-09-16","12","21131","23602","907","119","2014.8","1330.9299999999998"
"2025-09-16","13","19769","21112","887","137","1438.22","963.9699999999997"
"2025-09-16","14","20151","21293","909","108","889.14","594.9799999999999"
"2025-09-16","15","19901","20318","956","121","1099.87","746.9300000000002"
"2025-09-16","16","19575","19439","979","174","2059","1353.3000000000009"
"2025-09-16","17","19780","19296","925","103","1182","787.2"
"2025-09-16","18","19015","18121","813","48","798.5","532.3499999999999"
"2025-09-16","19","17940","17386","930","42","824","540.4"
"2025-09-16","20","16174","15681","883","42","1168.6","765.5099999999996"
"2025-09-16","21","14610","14391","907","34","732","484.39999999999986"
"2025-09-16","22","11242","11062","866","32","613.5","405.8500000000001"
"2025-09-16","23","7469","7208","541","35","653.8","431.98"
"2025-09-17","0","10262","17817","415","64","588","397.3000000000001"
"2025-09-17","1","7077","9737","402","76","672.5","455.4599999999999"
"2025-09-17","2","5318","6160","343","72","267","189.68000000000006"
"2025-09-17","3","5246","5456","359","201","2272","1544.489999999999"
"2025-09-17","4","6824","7243","341","91","399.8","289.3499999999999"
"2025-09-17","5","10331","11263","438","102","634.5","448.40000000000003"
"2025-09-17","6","14911","16211","483","128","768.5","540.75"
"2025-09-17","7","12391","14581","605","115","1329","894.65"
